token	part	source	target	action	salt
042	1	0	1	enter	N/A
279731784972193	1	1	2	move	042
128589543210724	1	2	3	move	002
280206676651511	1	3	4	move	048
37150133620128	1	4	4	hint	023
47890482868936	1	4	4	hint	023
50457013926347	1	4	4	hint	023
49081739277115	1	4	5	move	023
111903790755050	1	5	6	move	060
71218742664725	1	6	6	hint	069
72792619708639	1	6	6	hint	069
75420150557596	1	6	6	hint	069
71115866585707	1	6	7	move	069
27493202200923	1	7	7	hint	090
28094084689710	1	7	7	hint	090
28697173935421	1	7	7	hint	090
29293607320320	1	7	7	hint	090
29896704364823	1	7	8	move	090
14915938923952	1	8	8	hint	099
7708171354493	1	8	9	move	099
253789061748229	1	9	10	move	073
107025105236366	1	10	11	move	093
138282073330312	1	11	11	hint	033
138996212731035	1	11	11	hint	033
139744599079637	1	11	12	move	033
140217850902324	1	11	12	move	033
206054094742976	1	12	13	move	025
161821468565730	1	13	13	hint	024
165888542179420	1	13	13	hint	024
166013587439609	1	13	13	hint	024
167117019028817	1	13	13	hint	024
166788243175236	1	13	14	move	024
261661938333343	1	14	15	move	034
24919761524173	1	15	15	hint	091
25101277790992	1	15	15	hint	091
25203292965387	1	15	15	hint	091
34807888636366	1	15	16	move	091
34989396526869	1	15	16	move	091
35091420089868	1	15	16	move	091
36876251558115	1	16	17	move	075
11246510018033	1	17	18	move	076
18257904005745	1	18	18	hint	080
27912063284788	1	18	18	hint	080
17809976537863	1	18	19	move	080
34285849059910	1	19	19	hint	078
34285849060722	1	19	19	hint	078
34285849061160	1	19	19	hint	078
34285849060426	1	19	20	move	078
156346887286586	1	20	21	move	010
229615318980909	1	21	22	move	086
256975312978711	1	22	23	move	029
218198158603602	1	23	23	hint	045
238466580765852	1	23	23	hint	045
240365303417698	1	23	24	move	045
238671605460617	1	24	25	move	012
40021435400308	1	25	25	hint	032
41611545528035	1	25	25	hint	032
41764381395024	1	25	25	hint	032
41535988500868	1	25	26	move	032
128655226577199	1	26	26	hint	036
136221754469805	1	26	26	hint	036
124493698100759	1	26	27	move	036
153079044280507	1	27	28	move	035
203554996898747	1	28	28	hint	046
203427508369843	1	28	29	move	046
221013381787467	1	29	30	move	071
193619246200652	1	30	31	move	018
66098661366712	1	31	31	hint	004
60167643205863	1	31	32	move	004
213893536427211	1	32	0	move	051
214187513069315	1	32	33	move	051
225550015813321	1	32	33	move	051
255276062128450	1	33	0	move	052
148646393118578	1	34	0	move	053
