token	part	source	target	action	salt
042	1	0	1	enter	N/A
279644058721993	1	1	2	move	042
130877018053621	1	2	3	move	002
279073832771282	1	3	4	move	048
37598288701617	1	4	4	hint	023
48044556087693	1	4	4	hint	023
51507010066455	1	4	4	hint	023
50980998180879	1	4	5	move	023
111873735423475	1	5	6	move	060
70761173541257	1	6	6	hint	069
73618022250895	1	6	6	hint	069
77405320603816	1	6	6	hint	069
71849070099607	1	6	7	move	069
27750710965709	1	7	7	hint	090
27856316173838	1	7	7	hint	090
28936146647069	1	7	7	hint	090
29469479875314	1	7	7	hint	090
30525141563126	1	7	8	move	090
14736651824382	1	8	8	hint	099
8733222069916	1	8	9	move	099
253789061748229	1	9	10	move	073
107025105236366	1	10	11	move	093
138282073330312	1	11	11	hint	033
138996212731035	1	11	11	hint	033
139744599079637	1	11	12	move	033
140217850902324	1	11	12	move	033
206054094742976	1	12	13	move	025
158940675065632	1	13	13	hint	024
163024011428056	1	13	13	hint	024
165468115894776	1	13	13	hint	024
166516902594714	1	13	13	hint	024
166940006711685	1	13	14	move	024
261661938333343	1	14	15	move	034
24023835813788	1	15	15	hint	091
24026656455753	1	15	15	hint	091
24056167280055	1	15	15	hint	091
33454360073749	1	15	16	move	091
33458254442206	1	15	16	move	091
33486899158028	1	15	16	move	091
36634440878275	1	16	17	move	075
12496616506700	1	17	18	move	076
18322049360738	1	18	18	hint	080
29925361564672	1	18	18	hint	080
18336198393759	1	18	19	move	080
30928237956025	1	19	19	hint	078
30928237956437	1	19	19	hint	078
30928237956875	1	19	19	hint	078
30928237956525	1	19	20	move	078
156356238644044	1	20	21	move	010
228770217179253	1	21	22	move	086
256500123076880	1	22	23	move	029
227797463040767	1	23	23	hint	045
237566676404939	1	23	23	hint	045
241491762019151	1	23	24	move	045
229606212629141	1	24	25	move	012
37919585688127	1	25	25	hint	032
38837902977585	1	25	25	hint	032
48641777669212	1	25	25	hint	032
41770464086333	1	25	26	move	032
131587263483309	1	26	26	hint	036
132776239100886	1	26	26	hint	036
124254928334508	1	26	27	move	036
158000323613499	1	27	28	move	035
197442822264005	1	28	28	hint	046
208022858214383	1	28	29	move	046
228039061975856	1	29	30	move	071
193891994785434	1	30	31	move	018
66688187831573	1	31	31	hint	004
59998173561476	1	31	32	move	004
225990166488874	1	32	33	move	051
226135318816776	1	32	0	move	051
226496379089034	1	32	33	move	051
254055169129857	1	33	0	move	052
149613783694257	1	34	0	move	053
